47680,1,91.7,16.1,38
45702,1,102.3,15.9,38
17003,2,249.7,16,44
17003,6,654.5,16.1,44
47681,1,96.8,16.2,38
47681,1,87,16.4,38
47681,2,215.4,16.3,38
21108,1,135.2,16.3,44
8040,2,202.1,16.6,60
30338,1,122.1,16.5,48
8567,1,117.7,16.4,58
24193,2,204.9,16.3,56
17004,5,540.7,16.6,44
44645,1,77.2,16.2,36
28398,2,156.7,16.4,56
60824,1,67.2,16.3,36
61836,2,163.7,16.2,38
33449,1,101.4,16.9,44
58802,1,104.6,16.9,35
59813,4,480.1,16.8,40
55778,3,336.4,17.1,50
41610,2,146.2,17,40
46670,1,111,17.1,35
21109,3,354.6,17.1,44
8070,1,110.4,17.1,62
29309,1,108.8,16.9,44
17005,3,329.8,17.1,44
61837,2,221.3,16.7,40
58803,1,99.6,17.4,37
58803,4,347.9,17.4,36
54767,1,64.4,17.3,44
80118,4,446.5,17.4,60
41611,2,171.9,17.2,38
47683,11,1106.3,17.3,38
21110,2,194.6,17.6,44
24146,2,205.1,17.5,54
45705,2,194.9,17.6,38
45705,1,125.6,17.4,38
45705,2,238,17.2,38
29310,1,79.5,17.4,44
30340,9,961.3,17.5,50
30340,1,116.6,17.6,48
30340,2,179.3,17.6,48
24195,1,95.9,17.3,56
49707,1,109.4,17.6,40
17006,1,70.4,17.5,44
44647,1,87.3,17.6,36
44647,5,465.3,17.4,36
44647,1,79.8,17.5,37
45659,3,292.3,17.4,38
45659,2,135.6,17.2,38
45659,1,111.1,17.3,40
61838,1,73.6,17.5,40
43636,1,85.7,17.9,39
43636,1,109.2,18.1,39
59815,17,1959.2,17.7,38
15238,4,393.5,18.1,58
41612,1,96,17.9,40
37501,3,220.3,18,44
38513,1,70.7,17.9,48
47684,1,112.6,18.1,38
21111,1,91.1,18.1,44
22123,2,202.5,18.1,50
22123,1,110.3,17.7,48
45706,3,257.2,17.8,38
49708,1,96.2,18.1,38
17007,1,117.5,17.7,44
45660,4,391.2,18,39
28401,1,62.6,18,54
61839,3,264.8,17.7,42
61839,3,324.1,18,40
61839,3,264.4,17.9,40
50720,3,264.2,17.9,44
43637,1,90.6,18.3,39
59816,4,372.4,18.4,42
59816,8,738.8,18.2,38
57793,3,263.5,18.6,56
57793,1,90.6,18.5,54
47685,6,571.8,18.3,38
21112,1,113.8,18.6,46
22124,1,113,18.3,48
8160,5,575.9,18.3,60
45707,1,84.2,18.4,38
45707,3,220,18.2,42
45707,1,99.4,18.2,38
29312,2,222.5,18.3,44
29312,2,184.1,18.4,44
30342,1,85.8,18.5,48
30342,4,430.8,18.2,50
30342,1,104.7,18.6,48
31372,5,533.7,18.4,52
31372,2,255.7,18.3,52
10013,1,77.1,18.3,58
10013,8,807.2,18.6,58
10013,2,251.9,18.4,60
6678,2,186.9,18.3,66
49709,1,128.4,18.4,38
17008,1,108.4,18.5,44
17008,2,185.4,18.4,44
45661,14,1419.1,18.2,40
45661,2,210.9,18.6,39
45661,1,106.1,18.4,38
45661,1,67.7,18.4,38
26342,1,95.5,18.5,50
28402,2,192.7,18.4,54
13183,2,226.5,18.2,58
50721,1,91.5,18.2,44
43638,1,79.4,19.1,39
43638,2,178.1,18.9,39
54770,2,212.7,18.9,44
54770,4,262.1,18.8,44
56782,1,94.5,18.7,52
15242,1,88.2,18.8,62
80418,2,112.7,18.9,48
